,NAME,STORE,ORIGINAL PRICE,SALE PRICE
0,"Funko Pop! Stacks Plastic Protector, ",Hot Topic,10.50,
1,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Chupacabra Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
2,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Grey Baby Niffler Collectible Plush, ",Hot Topic,12.90,10.32
3,"Funko Fantastic Beasts: The Crimes Of Grindlewald Pocket Pop! Baby Niffler (Multi) Key Chain, ",Hot Topic,7.90,6.32
4,"Funko Fantastic Beasts: The Crimes Of Grindlewald Pop! Baby Nifflers Vinyl Figure Set, ",Hot Topic,24.50,19.60
5,"Funko Fantastic Beasts: The Crimes Of Grindlewald Pocket Pop! Baby Niffler (Tan) Key Chain, ",Hot Topic,7.90,6.32
6,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Black & White Baby Niffler Collectible Plush, ",Hot Topic,12.90,10.32
7,"Funko Fantastic Beasts: The Crimes Of Grindlewald Pocket Pop! Baby Niffler (Brown) Key Chain, ",Hot Topic,7.90,6.32
8,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Bowtruckle Collectible Plush, ",Hot Topic,12.90,10.32
9,"Funko Fantastic Beasts: The Crimes Of Grindlewald Pocket Pop! Baby Niffler (Grey) Key Chain, ",Hot Topic,7.90,6.32
10,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Chupacabra Vinyl Figure, ",Hot Topic,12.50,9.00
11,"Funko Prince Pop! Rocks 3rd Eye Girl Vinyl Figure, ",Hot Topic,12.50,9.00
12,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Niffler Collectible Plush, ",Hot Topic,12.90,10.32
13,"Funko Prince Pop! Rocks Prince Around The World In A Day Vinyl Figure, ",Hot Topic,12.50,9.00
14,"Funko Marvel Studios 10th Anniversary Pint Size Heroes Blind Bag Vinyl Figure, ",Hot Topic,4.90,3.92
15,"Funko Fantastic Beasts: The Crimes Of Grindelwald Thestral Pop! Key Chain, ",Hot Topic,7.90,6.32
16,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pickett Pop! Key Chain, ",Hot Topic,7.90,6.32
17,"Funko Marvel Runaways Pop! Alex Wilder Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
18,"Funko Marvel Runaways Pop! Chase Stein Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
19,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Newt Scamander Vinyl Figure, ",Hot Topic,12.50,9.00
20,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Pickett Vinyl Figure, ",Hot Topic,12.50,9.00
21,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Albus Dumbledore Vinyl Figure, ",Hot Topic,12.50,9.00
22,"Funko Spider-Man Pop! Games Miles Morales Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
23,"Funko Smallfoot Pop! Movies Stonekeeper Vinyl Figure, ",Hot Topic,12.50,9.00
24,"Funko The Nightmare Before Christmas Diamond Collection Pop! Jack Skellington Vinyl Figure Hot Topic Exclusive, ",Hot Topic,14.50,
25,"Rick And Morty Portal Gun Replica, ",Hot Topic,17.90,14.32
