,NAME,STORE,ORIGINAL PRICE,SALE PRICE
0,"Funko Pop! Stacks Plastic Protector, ",Hot Topic,10.50,
1,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Thestral Vinyl Figure, ",Hot Topic,12.50,9.00
2,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Albus Dumbledore Vinyl Figure, ",Hot Topic,12.50,9.00
3,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Gellert Grindelwald Vinyl Figure, ",Hot Topic,12.50,9.00
4,"Funko Marvel Runaways Pop! Chase Stein Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
5,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Newt Scamander Vinyl Figure, ",Hot Topic,12.50,9.00
6,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Pickett Vinyl Figure, ",Hot Topic,12.50,9.00
7,"Rick And Morty Portal Gun Replica, ",Hot Topic,17.90,14.32
8,"Funko Smallfoot Pop! Movies Stonekeeper Vinyl Figure, ",Hot Topic,12.50,9.00
9,"Funko The Nightmare Before Christmas Diamond Collection Pop! Jack Skellington Vinyl Figure Hot Topic Exclusive, ",Hot Topic,14.50,
10,"Funko The Nightmare Before Christmas Pop! Clown Vinyl Figure, ",Hot Topic,12.50,9.00
11,"Funko Spider-Man Pop! Games Miles Morales Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
12,"Funko Overwatch Pop! Games Torbjorn Vinyl Figure, ",Hot Topic,12.50,9.00
13,"Funko Rick And Morty Scary Terry Action Figure, ",Hot Topic,16.50,13.20
14,"Funko Rick And Morty Purge Suit Rick Action Figure, ",Hot Topic,16.50,13.20
15,"Funko The Nightmare Before Christmas Pop! Snowman Jack Vinyl Figure, ",Hot Topic,12.50,9.00
16,"Funko The Nightmare Before Christmas Pop! Harlequin Demon Vinyl Figure, ",Hot Topic,12.50,9.00
17,"Funko Rick And Morty Summer Action Figure, ",Hot Topic,16.50,13.20
18,"Funko Rick And Morty Purge Suit Morty Action Figure, ",Hot Topic,16.50,13.20
19,"Funko The Nightmare Before Christmas Pop! Dr. Finkelstein Vinyl Figure, ",Hot Topic,12.50,9.00
20,"Funko Rick And Morty Squanchy Action Figure, ",Hot Topic,16.50,13.20
21,"Funko The Nightmare Before Christmas Pop! Sally Vinyl Figure, ",Hot Topic,12.50,9.00
22,"Funko Marvel Studios The First 10 Years Pop! Thanos (With Throne) Vinyl Bobble-Head Hot Topic Exclusive, ",Hot Topic,32.50,
23,"Funko Supernatural Pop! Television Castiel With Wings Vinyl Figure Hot Topic Exclusive, ",Hot Topic,14.50,
24,"Funko Marvel Pop! Anti-Venom Vinyl Bobble-Head Hot Topic Exclusive, ",Hot Topic,12.50,
25,"Funko Five Nights At Freddy's Pocket Pop! Helpy Key Chain, ",Hot Topic,7.90,6.32
26,"Funko Disney Hercules Pop! Rides Hercules & Pegasus Vinyl Figure , ",Hot Topic,32.50,25.00
27,"Funko Cuphead Mugman Vinyl Figure , ",Hot Topic,12.50,10.00
28,"Funko Small Foot Pop! Movies Percy Vinyl Figure, ",Hot Topic,12.50,9.00
29,"Funko Small Foot Pop! Movies Fleem Vinyl Figure, ",Hot Topic,12.50,9.00
30,"Funko Smallfoot Pop! Movies Migo Vinyl Figure, ",Hot Topic,12.50,9.00
31,"Funko Mickey's 90th Pocket Pop! Brave Little Tailor Key Chain, ",Hot Topic,6.90,5.52
32,"Funko Mickey's 90th Pocket Pop! Band Concert Mickey Key Chain, ",Hot Topic,6.90,5.52
33,"Funko Blink-182 Pop! Rocks Mark Hoppus Vinyl Figure, ",Hot Topic,12.50,9.00
34,"Funko Blink-182 Pop! Rocks Travis Barker Vinyl Figure, ",Hot Topic,12.50,9.00
35,"Funko The Nightmare Before Christmas Mystery Minis Blind Box Water Globe Hot Topic Exclusive, ",Hot Topic,12.50,10.00
36,"Funko Marvel Spider-man Pop! Games Mary Jane Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
37,"Funko Big Mouth Pop! Television Hormone Monster Vinyl Figure, ",Hot Topic,12.50,9.00
38,"Funko Pan's Labyrinth Pop! Movies Fauno Vinyl Figure, ",Hot Topic,12.50,9.00
39,"Funko Big Mouth Pop! Television Nick Vinyl Figure, ",Hot Topic,12.50,9.00
40,"Funko Little Shop Of Horrors Pop! Movies Audrey II Vinyl Figure, ",Hot Topic,12.50,9.00
41,"Funko Star Wars: The Clone Wars Pop! Ahsoka Vinyl Bobble-Head Hot Topic Exclusive, ",Hot Topic,12.50,
42,"Funko Marvel Venom Pop! Venomized Captain America Bobble-Head, ",Hot Topic,12.50,9.00
43,"Funko It Mystery Minis Blind Box Vinyl Figure, ",Hot Topic,7.90,6.32
44,"Funko Friends Pop! Television Rachel Green Vinyl Figure, ",Hot Topic,12.50,9.00
45,"Funko Friends Pop! Television Chandler Bing Vinyl Figure, ",Hot Topic,12.50,9.00
46,"Funko Friends Pop! Television Joey Tribbiani Vinyl Figure, ",Hot Topic,12.50,9.00
47,"Funko Star Wars: The Clone Wars Pop! Yoda Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
48,"Funko Star Wars Vynl. Darth Vader & Stormtrooper Vinyl Figures, ",Hot Topic,18.90,15.12
49,"Funko Star Wars: The Clone Wars Pop! Ahsoka Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
50,"Funko Power Rangers Pop! Television Zack Vinyl Figure, ",Hot Topic,12.50,9.00
51,"Funko Power Rangers Pop! Television Goldar Vinyl Figure, ",Hot Topic,12.50,9.00
52,"Funko Power Rangers Pop! Television Billy Vinyl Figure, ",Hot Topic,12.50,9.00
53,"Funko Power Rangers Pop! Television Rita Repulsa Vinyl Figure, ",Hot Topic,12.50,9.00
54,"Funko Power Rangers Pop! Television Lord Zedd Vinyl Figure, ",Hot Topic,12.50,9.00
55,"Funko Power Rangers Pop! Television Jason Vinyl Figure, ",Hot Topic,12.50,9.00
56,"Funko Power Rangers Pop! Television Trini Vinyl Figure, ",Hot Topic,12.50,9.00
57,"Funko Power Rangers Pop! Television Tommy Vinyl Figure, ",Hot Topic,12.50,9.00
58,"Funko Power Rangers Pop! Television Kimberly Vinyl Figure, ",Hot Topic,12.50,9.00
59,"Funko Star Wars: The Clone Wars Pop! Cad Bane Vinyl Bobble-Head 2018 Summer Convention Exclusive, ",Hot Topic,15.00,
60,"Funko Marvel Black Panther Pop! T'Challa Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
61,"Funko Saga Pop! Comics Ghus In Pajamas Flocked Vinyl Figure 2018 Summer Convention Exclusive, ",Hot Topic,15.00,10.00
62,"Funko Riverdale Pop! Television Josie McCoy Vinyl Figure 2018 Summer Convention Exclusive, ",Hot Topic,15.00,
63,"Funko TailSpin Pop! Baloo Vinyl Figure, ",Hot Topic,12.50,9.00
64,"Funko Mister Rogers' Neighborhood Supercute Plushies Mr. Rogers Collectible Plush, ",Hot Topic,12.90,10.32
65,"Funko Disney TailSpin Pop! Louie Vinyl Figure, ",Hot Topic,12.50,9.00
66,"Funko Five Nights At Freddy's: The Twisted Ones Twisted Chica Collectible Plush, ",Hot Topic,14.90,11.92
67,"Funko Five Nights At Freddy's: The Twisted Ones Twisted Stanley Collectible Plush, ",Hot Topic,14.90,11.92
68,"Funko Five Nights At Freddy's: The Twisted Ones Twisted Theodore Collectible Plush, ",Hot Topic,14.90,11.92
69,"Funko Disney TailSpin Pop! Shere Khan Vinyl Figure, ",Hot Topic,12.50,9.00
70,"Funko Disney TailSpin Pop! Kit Cloudkicker Vinyl Figure, ",Hot Topic,12.50,9.00
71,"Funko Five Nights At Freddy's: The Twisted Ones Twisted Foxy Collectible Plush, ",Hot Topic,14.90,11.92
72,"Funko Disney TailSpin Pop! Rebecca Cunningham Vinyl Figure, ",Hot Topic,12.50,9.00
73,"Funko Five Nights At Freddy's: The Twisted Ones Twisted Bonnie Collectible Plush, ",Hot Topic,14.90,11.92
74,"Funko Five Nights At Freddy's: The Twisted Ones Twisted Wolf Collectible Plush, ",Hot Topic,14.90,11.92
75,"Funko Marvel Ant-Man And The Wasp Pop! Hank Pym Unmasked Vinyl Bobble-Head Hot Topic Exclusive, ",Hot Topic,12.50,
