NAME; STORE; STANDARD PRICE; ORIGINAL PRICE; SALE PRICE
Funko Pop! Stacks Plastic Protector, ;Hot Topic ;$10.50;
Funko Supernatural Pop! Television Castiel With Wings Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;$14.50;
Funko Marvel Studios The First 10 Years Pop! Thanos (With Throne) Vinyl Bobble-Head Hot Topic Exclusive, ;Hot Topic ;$32.50;
Funko Marvel Pop! Anti-Venom Vinyl Bobble-Head Hot Topic Exclusive, ;Hot Topic ;$12.50;
Funko The Nightmare Before Christmas Pop! Under The Moonlight Vinyl Figure, ;Hot Topic ;0;$36.50;$25.55
Funko The Nightmare Before Christmas Pocket Pop! Dapper Jack Key Chain Hot Topic Exclusive, ;Hot Topic ;0;$7.90;$5.53
Funko Disney Hercules Pop! Rides Hercules & Pegasus Vinyl Figure , ;Hot Topic ;0;$32.50;$25.00
FUNKO DISNEY TREASURES VILLAINS BOX HOT TOPIC EXCLUSIVE, ;Hot Topic ;$32.90;
Funko Cuphead Mugman Vinyl Figure , ;Hot Topic ;0;$12.50;$8.75
Funko Small Foot Pop! Movies Percy Vinyl Figure, ;Hot Topic ;0;$12.50;$9.00
Funko Small Foot Pop! Movies Fleem Vinyl Figure, ;Hot Topic ;0;$12.50;$9.00
Funko Smallfoot Pop! Movies Migo Vinyl Figure, ;Hot Topic ;0;$12.50;$9.00
Funko Big Mouth Pop! Television Hormone Monstress Vinyl Figure, ;Hot Topic ;0;$12.50;$9.00
Funko Mickey's 90th Pocket Pop! Band Concert Mickey Key Chain, ;Hot Topic ;0;$6.90;$4.83
Funko Mickey's 90th Pocket Pop! Brave Little Tailor Key Chain, ;Hot Topic ;0;$6.90;$4.83
Funko Pan's Labyrinth Pop! Movies Fauno Vinyl Figure, ;Hot Topic ;0;$12.50;$9.00
Funko Big Mouth Pop! Television Nick Vinyl Figure, ;Hot Topic ;0;$12.50;$9.00
Funko Big Mouth Pop! Television Hormone Monster Vinyl Figure, ;Hot Topic ;0;$12.50;$9.00
