,NAME,STORE,ORIGINAL PRICE,SALE PRICE
0,"Funko Doctor Who Pop! Television TARDIS (Clara's Memorial) 6 Inch Vinyl Figure, ",Hot Topic,18.50,14.80
1,"Funko Child's Play 2 Pop! Movies Chucky On Cart Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
2,"Funko Star Wars Vynl. Jabba The Hut & Salacious Crumb Vinyl Bobble-Heads, ",Hot Topic,18.90,15.12
3,"Funko Married With Children Pop! Television Kelly Bundy Vinyl Figure, ",Hot Topic,12.50,9.00
4,"Funko Mariah Carey Pop! Rocks Holiday Mariah Carey Vinyl Figure, ",Hot Topic,12.50,9.00
5,"Funko Doctor Who Pop! Television Missy Vinyl Figure, ",Hot Topic,12.50,9.00
6,"Funko Star Wars Pop! Yoda (Holiday) Vinyl Figure, ",Hot Topic,12.50,9.00
7,"Funko Marvel Pop! Spider-Man Holiday Sweater Vinyl Figure, ",Hot Topic,12.50,9.00
8,"Funko Marvel Pop! Groot Holiday Lights Vinyl Figure, ",Hot Topic,12.50,9.00
9,"Funko Marvel Deadpool Pop! Holiday Deadpool Vinyl Figure, ",Hot Topic,12.50,9.00
10,"Funko Marvel Pop! Hulk (Holiday) Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
11,"Funko Tokyo Ghoul Pop! Animation Eto Vinyl Figure 2018 Fall Convention Exclusive, ",Hot Topic,15.00,
12,"Funko DC Comics Aquaman Pop! Heroes Arthur Curry Vinyl Figure 2018 Fall Convention Exclusive, ",Hot Topic,15.00,
13,"Funko DC Comics Pop! Heroes Wonder Woman Vinyl Figure 2018 Fall Convention Exclusive, ",Hot Topic,15.00,
14,"Funko Blade Runner 2049 Dorbz Deckard Vinyl Figure, ",Hot Topic,9.50,6.00
15,"Funko Birdhouse Skateboards Pop! Sports Tony Hawk Vinyl Figure, ",Hot Topic,12.50,9.00
16,"Funko Blade Runner 2049 Dorbz Sapper Vinyl Figure, ",Hot Topic,9.50,6.00
17,"Funko Blade Runner 2049 Dorbz Wallace Vinyl Figure, ",Hot Topic,9.50,6.00
18,"Funko Blade Runner 2049 Dorbz Officer K Vinyl Figure, ",Hot Topic,9.50,6.00
19,"Funko Overwatch Pop! Games Roadhog (Junkenstein's Monster) 6 Inch Vinyl Figure Hot Topic Exclusive, ",Hot Topic,26.90,
20,"Funko Marvel Avengers: Infinity War Vynl. Thanos & Iron Spider Vinyl Figures, ",Hot Topic,18.90,15.12
21,"Funko DC Comics Aquaman Pop! Mera Vinyl Figure, ",Hot Topic,12.50,9.00
22,"Funko DC Comics Aquaman Pop! Orm Vinyl Figure, ",Hot Topic,12.50,9.00
23,"Funko Ralph Breaks The Internet Vanellope Pop! Key Chain, ",Hot Topic,7.90,6.32
24,"Funko Aquaman Pocket Pop! Aquaman Classic Suit Vinyl Key Chain, ",Hot Topic,7.90,6.32
25,"Funko Elvira Mistress Of The Dark Pocket Pop! Elvira Red Dress Key Chain Hot Topic Exclusive, ",Hot Topic,7.90,6.32
26,"Funko DC Comics Aquaman Mystery Minis Blind Box Vinyl Figure, ",Hot Topic,7.90,6.32
27,"Funko Aquaman Pocket Pop! Black Manta Key Chain, ",Hot Topic,7.90,6.32
