,NAME,STORE,ORIGINAL PRICE,SALE PRICE
0,"Funko Mortal Engines Pop! Movies Hester Shaw Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
1,"Funko NFL Packers Pop! Football Bart Starr (Black & White) Vinyl Figure, ",Hot Topic,12.50,
2,"Funko Elvira Mistress Of The Dark FunkO's Cereal With Pocket Pop! Elvira Cereal Hot Topic Exclusive, ",Hot Topic,10.90,
3,"The Nightmare Before Christmas Sally Rag Doll Plush, ",Hot Topic,32.90,
4,"Funko Disney Kingdom Hearts III Pop! Sora (Monsters, Inc.) Vinyl Figure, ",Hot Topic,12.50,
5,"Funko Mortal Engines Pop! Movies Tom Natsworthy Vinyl Figure, ",Hot Topic,12.50,
6,"Funko Disney Kingdom Hearts III Pop! Goofy (Monsters, Inc.) Vinyl Figure, ",Hot Topic,12.50,
7,"Funko Disney Kingdom Hearts III Pop! Donald (Monsters, Inc.) Vinyl Figure, ",Hot Topic,12.50,
8,"Funko Mortal Engines Pop! Movies Thaddeus Valentine Vinyl Figure, ",Hot Topic,12.50,
9,"Funko Mortal Engines Pop! Movies Hester Shaw Vinyl Figure, ",Hot Topic,12.50,
10,"Funko Voltron: Legendary Defender Pop! Animation Hunk Vinyl Figure, ",Hot Topic,12.50,
11,"Funko Voltron: Legendary Defender Pop! Animation Lance Vinyl Figure, ",Hot Topic,12.50,
12,"Funko Voltron: Legendary Defender Pop! Animation Pidge Vinyl Figure, ",Hot Topic,12.50,
13,"Funko Voltron: Legendary Defender Pop! Animation Allura Vinyl Figure, ",Hot Topic,12.50,
14,"Funko Crash Bandicoot Pop! Games Aku Aku Vinyl Figure, ",Hot Topic,12.50,
15,"Funko Marvel X-Men Pop! Chrome X-Force Colossus Vinyl Bobble-Head 2018 L.A. Comic Con Exclusive, ",Hot Topic,15.00,
16,"Funko Sailor Moon Pop! Animation Sailor Moon With Moon Stick & Luna Vinyl Figures Hot Topic Exclusive, ",Hot Topic,12.50,
17,"Funko Disney Kingdom Hearts III Pop! Sora Vinyl Figure, ",Hot Topic,12.50,
18,"Funko Disney Kingdom Hearts III Pop! Soldier Heartless Vinyl Figure, ",Hot Topic,12.50,
19,"Funko Disney Kingdom Hearts 3 Pop! Riku Vinyl Figure, ",Hot Topic,12.50,
20,"Funko Disney Kingdom Hearts 3 Pop! Mickey Vinyl Figure, ",Hot Topic,12.50,
21,"Funko Disney Diamond Collection Mulan Pop! Mulan Vinyl Figure Hot Topic Exclusive, ",Hot Topic,14.50,
22,"Funko Ralph Breaks The Internet Pop! Wreck-It Ralph Cherry Pie Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
23,"Funko Marvel Studios: The First 10 Years Pop! Thanos (With Throne) Vinyl Bobble-Head Hot Topic Exclusive, ",Hot Topic,32.50,
24,"Funko DC Comics Pop! Heroes Clark Kent Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
25,"Funko Child's Play 2 Pop! Movies Chucky On Cart Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
26,"Funko The Lord Of The Rings Pop! Movies Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
27,"Funko Marvel Spider-Man: Into The Spider-Verse Pocket Pop! Miles Morales Bobble-Head Key Chain, ",Hot Topic,7.90,
28,"Funko Marvel Spider-Man: Into The Spider-Verse Pocket Pop! Peter Parker Bobble-Head Key Chain, ",Hot Topic,7.90,
29,"Funko Super Racers Five Nights At Freddy's Ennard Racer Figure, ",Hot Topic,6.90,
30,"Funko Super Racers Five Nights At Freddy's Cupcake Racer Figure, ",Hot Topic,6.90,
31,"Funko Super Racers Five Nights At Freddy's Lolbit Racer Figure, ",Hot Topic,6.90,
32,"Funko Super Racers Five Nights At Freddy's Chica Racer Figure, ",Hot Topic,6.90,
33,"Funko Super Racers Five Nights At Freddy's Freddy Racer Figure, ",Hot Topic,6.90,
34,"Funko Super Racers Five Nights At Freddy's Fredbear Racer Figure, ",Hot Topic,6.90,
35,"Funko Super Racers Five Nights At Freddy's Marionette Racer Figure, ",Hot Topic,6.90,
