NAME; STORE; STANDARD PRICE; ORIGINAL PRICE; SALE PRICE
Funko Pop! Stacks Plastic Protector, ;Hot Topic ;$10.50;
Funko Adventure Time x Minecraft Pop! Animation Jake Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko The Nightmare Before Christmas Shock Supercute Plushie, ;Hot Topic ;;$14.90;$11.92;;
Funko YU-GI-OH! Pop! Animation Seto Kaiba Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Disney Gargoyles Pocket Pop! Goliath Key Chain, ;Hot Topic ;;$6.90;$5.52;;
Funko The Nightmare Before Christmas Lock Supercute Plushie, ;Hot Topic ;;$14.90;$11.92;;
Funko Five Nights At Freddy's Pop! Games Rockstar Freddy Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Disney Gargoyles Pop! Broadway Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko The Nightmare Before Christmas Pocket Pop! Zero Key Chain, ;Hot Topic ;;$7.90;$6.32;;
Funko Adventure Time x Minecraft Pop! Animation Finn Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Five Nights At Freddy's Pop! Games Pig Patch Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Adventure Time x Minecraft Pop! Animation Marceline Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko The Nightmare Before Christmas Barrel Supercute Plushie, ;Hot Topic ;;$14.90;$11.92;;
Funko Steven Universe Peridot Supercute Plushies Hot Topic Exclusive, ;Hot Topic ;;$12.90;$10.32;;
Funko Steven Universe Mystery Minis Blind Bag Plush Key Chain, ;Hot Topic ;;$5.90;$4.72;;
Funko Disney Gargoyles Pocket Pop! Demona Stone Key Chain Hot Topic Exclusive, ;Hot Topic ;;$6.90;$5.52;;
Funko Steven Universe Supercute Plushies Steven Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Star Wars: The Last Jedi Pop! Movies C'Ai Threnalli Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko Steven Universe Supercute Plushies Amethyst Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Star Wars: The Last Jedi Pop! Movies Porg Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko Steven Universe Supercute Plushies Pearl Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Steven Universe Supercute Plushies Steven With Jewel Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko The Nightmare Before Christmas Zero Pop! Plush, ;Hot Topic ;;$32.90;$26.32;;
Funko Steven Universe Supercute Plushies Garnet Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Star Wars: The Last Jedi Pop! Movies Caretaker Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko Star Wars: The Last Jedi Pop! Movies Paige Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko The Lord Of The Rings Smeagol Supercute Plushie Hot Topic Exclusive, ;Hot Topic ;;$12.90;$10.32;;
Funko DC Comics Super Heroes Pop! Heroes Wonder Woman From Flashpoint Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;$12.50;
Funko Steven Universe Pocket Pop! Pink Diamond Key Chain Hot Topic Exclusive, ;Hot Topic ;;$6.90;$5.52;;
Funko Rick And Morty Pocket Pop! Toxic Morty Key Chain Hot Topic Exclusive, ;Hot Topic ;;$6.90;$5.52;;
Funko Rick And Morty Pocket Pop! Toxic Rick Key Chain Hot Topic Exclusive, ;Hot Topic ;;$6.90;$5.52;;
Funko The Lord Of The Rings Pocket Pop! Aragorn Key Chain, ;Hot Topic ;;$7.90;$6.32;;
Funko Marvel Ant-Man And The Wasp Pocket Pop! Wasp Key Chain, ;Hot Topic ;;$6.90;$5.52;;
Funko Bullet Club Pop! The Young Bucks Vinyl Figure Set Hot Topic Exclusive, ;Hot Topic ;;$24.50;$19.60;;
Marvel Funko Pandapool T-Shirt Hot Topic Exclusive, BLACK;Hot Topic ;;;
Funko New Japan Pro-Wrestling Young Bucks Pop! T-Shirt Hot Topic Exclusive, BLACK;Hot Topic ;;$20.90 - $22.90;$16.72 - $18.32;;
Funko The Lord Of The Rings SuperCute Plushies Samwise Plush Collectible, ;Hot Topic ;;$12.90;$10.32;;
Funko The Lord Of The Rings SuperCute Plushies Gandalf The Grey Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
