,NAME,STORE,ORIGINAL PRICE,SALE PRICE
0,"Funko Disney Kingdom Hearts 3 Pop! Sora Vinyl Figure, ",Hot Topic,12.50,9.00
1,"Funko Disney Kingdom Hearts 3 Pop! Soldier Heartless Vinyl Figure, ",Hot Topic,12.50,9.00
2,"Funko Disney Kingdom Hearts 3 Pop! Riku Vinyl Figure, ",Hot Topic,12.50,9.00
3,"Funko Marvel Spider-Man: Into The Spider-Verse Pop! Spider-Gwen Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
4,"Funko Ralph Breaks The Internet Pop! Wreck-It Ralph Cherry Pie Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
5,"Funko Disney Diamond Collection Mulan Pop! Mulan Vinyl Figure Hot Topic Exclusive, ",Hot Topic,14.50,
6,"Funko Marvel Spider-Man Pop! Games Spider-Man Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
7,"Funko Child's Play 2 Pop! Movies Chucky On Cart Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
8,"Funko Marvel Spider-Man: Into The Spider-Verse Pocket Pop! Miles Morales Bobble-Head Key Chain, ",Hot Topic,7.90,6.32
9,"Funko Marvel Spider-Man: Into The Spider-Verse Pocket Pop! Peter Parker Bobble-Head Key Chain, ",Hot Topic,7.90,6.32
10,"Funko Super Racers Five Nights At Freddy's Foxy The Pirate Racer Figure, ",Hot Topic,6.90,5.52
11,"Funko Super Racers Five Nights At Freddy's Freddy Racer Figure, ",Hot Topic,6.90,5.52
12,"Funko Super Racers Five Nights At Freddy's Ennard Racer Figure, ",Hot Topic,6.90,5.52
13,"Funko Super Racers Five Nights At Freddy's Cupcake Racer Figure, ",Hot Topic,6.90,5.52
14,"Funko Super Racers Five Nights At Freddy's Lolbit Racer Figure, ",Hot Topic,6.90,5.52
15,"Funko Super Racers Five Nights At Freddy's Chica Racer Figure, ",Hot Topic,6.90,5.52
16,"Funko Super Racers Five Nights At Freddy's Fredbear Racer Figure, ",Hot Topic,6.90,5.52
17,"Funko Super Racers Five Nights At Freddy's Marionette Racer Figure, ",Hot Topic,6.90,5.52
18,"Funko The Grinch Pop! Movies Max The Dog Vinyl Figure, ",Hot Topic,12.50,9.00
