,NAME,STORE,ORIGINAL PRICE,SALE PRICE
54,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Pickett Vinyl Figure, ",Hot Topic,12.50,9.00
55,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Albus Dumbledore Vinyl Figure, ",Hot Topic,12.50,9.00
56,"Funko The Nightmare Before Christmas Pop! Clown Vinyl Figure, ",Hot Topic,12.50,9.00
57,"Funko Marvel Black Panther Pop! T'Challa (Black Robe) Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
58,"Funko The Nightmare Before Christmas Pop! Vampire Teddy With Duck Vinyl Figure, ",Hot Topic,12.50,9.00
59,"Funko Marvel Runaways Pop! Karolina Dean Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
60,"Funko Smallfoot Pop! Movies Stonekeeper Vinyl Figure, ",Hot Topic,12.50,9.00
61,"Funko The Nightmare Before Christmas Diamond Collection Pop! Jack Skellington Vinyl Figure Hot Topic Exclusive, ",Hot Topic,14.50,
62,"Funko Rick And Morty Squanchy Action Figure, ",Hot Topic,16.50,13.20
63,"Funko The Nightmare Before Christmas Pop! Sally Vinyl Figure, ",Hot Topic,12.50,9.00
64,"Funko Rick And Morty Purge Suit Morty Action Figure, ",Hot Topic,16.50,13.20
65,"Funko Rick And Morty Summer Action Figure, ",Hot Topic,16.50,13.20
66,"Funko Overwatch Pop! Games Torbjorn Vinyl Figure, ",Hot Topic,12.50,9.00
67,"Funko Rick And Morty Scary Terry Action Figure, ",Hot Topic,16.50,13.20
68,"Funko Rick And Morty Purge Suit Rick Action Figure, ",Hot Topic,16.50,13.20
69,"Funko The Nightmare Before Christmas Pop! Snowman Jack Vinyl Figure, ",Hot Topic,12.50,9.00
70,"Funko Overwatch Pocket Pop! Soldier: 76 Key Chain, ",Hot Topic,7.90,6.32
71,"Funko Overwatch Pocket Pop! Pharah Key Chain, ",Hot Topic,7.90,6.32
72,"Funko Overwatch Pocket Pop! Lucio Key Chain, ",Hot Topic,7.90,6.32
73,"Funko Overwatch Pocket Pop! D.Va Key Chain, ",Hot Topic,7.90,6.32
74,"Funko Overwatch Pocket Pop! Sombra Key Chain, ",Hot Topic,7.90,6.32
75,"Funko Five Nights At Freddy's Pocket Pop! Pigpatch Key Chain, ",Hot Topic,7.90,6.32
76,"Funko Five Nights At Freddy's Pocket Pop! Helpy Key Chain, ",Hot Topic,7.90,6.32
77,"Funko Five Nights At Freddy's Pocket Pop! Rockstar Freddy Key Chain, ",Hot Topic,7.90,6.32
78,"Funko Five Nights At Freddy's Pocket Pop! Rockstar Foxy Key Chain, ",Hot Topic,7.90,6.32
79,"Funko Small Foot Pop! Movies Percy Vinyl Figure, ",Hot Topic,12.50,7.00
80,"Funko Small Foot Pop! Movies Fleem Vinyl Figure, ",Hot Topic,12.50,7.00
81,"Funko Smallfoot Pop! Movies Migo Vinyl Figure, ",Hot Topic,12.50,9.00
82,"Funko The Nightmare Before Christmas Jack Skellington Five Star Vinyl Figure, ",Hot Topic,10.90,8.72
83,"Funko Marvel Black Panther Pop! Ulysses Klaue Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
84,"Funko The Nightmare Before Christmas Lock Five Star Vinyl Figure, ",Hot Topic,10.90,8.72
85,"Funko Director Pop! Alfred Hitchcock Vinyl Figure, ",Hot Topic,12.50,9.00
86,"Funko The Nightmare Before Christmas Barrel Five Star Vinyl Figure, ",Hot Topic,10.90,8.72
87,"Funko Marvel Black Panther Pop! Erik Killmonger Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
