,NAME,STORE,ORIGINAL PRICE,SALE PRICE
0,"Funko Pop! Stacks Plastic Protector, ",Hot Topic,10.50,
1,"Funko Prince Pop! Rocks 3rd Eye Girl Vinyl Figure, ",Hot Topic,12.50,9.00
2,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Niffler Collectible Plush, ",Hot Topic,12.90,10.32
3,"Funko Prince Pop! Rocks Prince Around The World In A Day Vinyl Figure, ",Hot Topic,12.50,9.00
4,"Funko Marvel Studios 10th Anniversary Pint Size Heroes Blind Bag Vinyl Figure, ",Hot Topic,4.90,3.92
5,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Bowtruckle Collectible Plush, ",Hot Topic,12.90,10.32
6,"Funko Fantastic Beasts: The Crimes Of Grindelwald Thestral Pop! Key Chain, ",Hot Topic,7.90,6.32
7,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pickett Pop! Key Chain, ",Hot Topic,7.90,6.32
8,"Funko Marvel Runaways Pop! Alex Wilder Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
9,"Funko Marvel Runaways Pop! Chase Stein Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
10,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Newt Scamander Vinyl Figure, ",Hot Topic,12.50,9.00
11,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Pickett Vinyl Figure, ",Hot Topic,12.50,9.00
12,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Albus Dumbledore Vinyl Figure, ",Hot Topic,12.50,9.00
13,"Funko Smallfoot Pop! Movies Stonekeeper Vinyl Figure, ",Hot Topic,12.50,9.00
14,"Funko The Nightmare Before Christmas Diamond Collection Pop! Jack Skellington Vinyl Figure Hot Topic Exclusive, ",Hot Topic,14.50,
15,"Funko Spider-Man Pop! Games Miles Morales Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
16,"Funko The Nightmare Before Christmas Pop! Clown Vinyl Figure, ",Hot Topic,12.50,9.00
17,"Rick And Morty Portal Gun Replica, ",Hot Topic,17.90,14.32
18,"Funko Rick And Morty Scary Terry Action Figure, ",Hot Topic,16.50,13.20
19,"Funko Overwatch Pop! Games Torbjorn Vinyl Figure, ",Hot Topic,12.50,9.00
20,"Funko Rick And Morty Purge Suit Rick Action Figure, ",Hot Topic,16.50,13.20
21,"Funko The Nightmare Before Christmas Pop! Snowman Jack Vinyl Figure, ",Hot Topic,12.50,9.00
22,"Funko Rick And Morty Squanchy Action Figure, ",Hot Topic,16.50,13.20
23,"Funko The Nightmare Before Christmas Pop! Sally Vinyl Figure, ",Hot Topic,12.50,9.00
24,"Funko Rick And Morty Summer Action Figure, ",Hot Topic,16.50,13.20
25,"Funko Rick And Morty Purge Suit Morty Action Figure, ",Hot Topic,16.50,13.20
26,"Funko Coraline Pop! Animation Coraline In Raincoat Vinyl Figure, ",Hot Topic,12.50,9.00
27,"Funko Friends Pop! Television Monica Geller Vinyl Figure, ",Hot Topic,12.50,9.00
28,"Funko Supernatural Pop! Television Castiel With Wings Vinyl Figure Hot Topic Exclusive, ",Hot Topic,14.50,
29,"Funko Marvel Studios The First 10 Years Pop! Thanos (With Throne) Vinyl Bobble-Head Hot Topic Exclusive, ",Hot Topic,32.50,
30,"Funko The Nightmare Before Christmas Pocket Pop! Dapper Jack Key Chain Hot Topic Exclusive, ",Hot Topic,7.90,6.32
31,"Funko Five Nights At Freddy's Pocket Pop! Pigpatch Key Chain, ",Hot Topic,7.90,6.32
32,"Funko Five Nights At Freddy's Pocket Pop! Helpy Key Chain, ",Hot Topic,7.90,6.32
33,"Funko Five Nights At Freddy's Pocket Pop! Rockstar Freddy Key Chain, ",Hot Topic,7.90,6.32
34,"Funko Disney Hercules Pop! Rides Hercules & Pegasus Vinyl Figure , ",Hot Topic,32.50,25.00
35,"FUNKO DISNEY TREASURES VILLAINS BOX HOT TOPIC EXCLUSIVE, ",Hot Topic,32.90,
36,"Funko Cuphead Mugman Vinyl Figure , ",Hot Topic,12.50,10.00
37,"Funko Five Nights At Freddy's Pocket Pop! Rockstar Foxy Key Chain, ",Hot Topic,7.90,6.32
38,"Funko Small Foot Pop! Movies Percy Vinyl Figure, ",Hot Topic,12.50,7.00
39,"Funko Small Foot Pop! Movies Fleem Vinyl Figure, ",Hot Topic,12.50,7.00
40,"Funko Smallfoot Pop! Movies Migo Vinyl Figure, ",Hot Topic,12.50,9.00
41,"Funko Marvel Venom Pop! Venomized Iron Man Bobble-Head, ",Hot Topic,12.50,9.00
42,"Funko Mickey's 90th Pocket Pop! Brave Little Tailor Key Chain, ",Hot Topic,6.90,5.52
43,"Funko Coraline Pop! The Other Mother Vinyl Figure, ",Hot Topic,12.50,9.00
44,"Funko Mickey's 90th Pocket Pop! Band Concert Mickey Key Chain, ",Hot Topic,6.90,5.52
45,"Funko Coraline Pop! Mr. Bobinsky With Mouse Vinyl Figure, ",Hot Topic,12.50,9.00
46,"Funko Blink-182 Pop! Rocks Mark Hoppus Vinyl Figure, ",Hot Topic,12.50,9.00
47,"Funko Knight Rider Pop! Rides Micheal Knight With Kitt Vinyl Figure, ",Hot Topic,32.50,26.00
48,"Funko The Nightmare Before Christmas Mystery Minis Blind Box Water Globe Hot Topic Exclusive, ",Hot Topic,12.50,10.00
49,"Funko Blink-182 Pop! Rocks Travis Barker Vinyl Figure, ",Hot Topic,12.50,9.00
50,"Funko The Nightmare Before Christmas Mystery Minis Blind Box Vinyl Figure, ",Hot Topic,7.90,6.32
51,"Funko Saturday Night Live Pop! SNL Spartan Cheerleaders Vinyl Figure Set, ",Hot Topic,22.50,18.00
52,"Funko Marvel Spider-man Pop! Games Mary Jane Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
53,"Funko Saturday Night Live Pop! SNL Roseanne Roseannadanna Vinyl Figure, ",Hot Topic,12.50,9.00
54,"Funko Marvel Spider-man Pop! Games Mister Negative Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
55,"Funko Pan's Labyrinth Pop! Movies Fauno Vinyl Figure, ",Hot Topic,12.50,9.00
56,"Funko Big Mouth Pop! Television Nick Vinyl Figure, ",Hot Topic,12.50,9.00
57,"Funko Big Mouth Pop! Television Hormone Monster Vinyl Figure, ",Hot Topic,12.50,9.00
58,"Funko Little Shop Of Horrors Pop! Movies Seymour Krelborn Vinyl Figure, ",Hot Topic,12.50,9.00
59,"Funko Marvel Venom Pop! Carnage Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
60,"Funko Little Shop Of Horrors Pop! Movies Orin Scrivello D.D.S Vinyl Figure, ",Hot Topic,12.50,9.00
61,"Funko Little Shop Of Horrors Pop! Movies Audrey Fulquard Vinyl Figure, ",Hot Topic,12.50,9.00
