,NAME,STORE,ORIGINAL PRICE,SALE PRICE
0,"Funko Pop! Stacks Plastic Protector, ",Hot Topic,10.50,
1,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Bowtruckle Collectible Plush, ",Hot Topic,12.90,
2,"Funko Fantastic Beasts: The Crimes Of Grindelwald Thestral Pop! Key Chain, ",Hot Topic,7.90,
3,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pickett Pop! Key Chain, ",Hot Topic,7.90,
4,"Funko Marvel Runaways Pop! Alex Wilder Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
5,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Albus Dumbledore Vinyl Figure, ",Hot Topic,12.50,9.00
6,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Pickett Vinyl Figure, ",Hot Topic,12.50,9.00
7,"Funko Marvel Runaways Pop! Chase Stein Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
8,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Newt Scamander Vinyl Figure, ",Hot Topic,12.50,9.00
9,"Funko The Nightmare Before Christmas Pop! Clown Vinyl Figure, ",Hot Topic,12.50,9.00
10,"Rick And Morty Portal Gun Replica, ",Hot Topic,17.90,
11,"Funko Smallfoot Pop! Movies Stonekeeper Vinyl Figure, ",Hot Topic,12.50,9.00
12,"Funko The Nightmare Before Christmas Diamond Collection Pop! Jack Skellington Vinyl Figure Hot Topic Exclusive, ",Hot Topic,14.50,
13,"Funko Spider-Man Pop! Games Miles Morales Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
14,"Funko Overwatch Pop! Games Torbjorn Vinyl Figure, ",Hot Topic,12.50,9.00
15,"Funko The Nightmare Before Christmas Pop! Snowman Jack Vinyl Figure, ",Hot Topic,12.50,9.00
16,"Funko Rick And Morty Purge Suit Rick Action Figure, ",Hot Topic,16.50,
17,"Funko Rick And Morty Scary Terry Action Figure, ",Hot Topic,16.50,
18,"Funko The Nightmare Before Christmas Pop! Sally Vinyl Figure, ",Hot Topic,12.50,9.00
