,NAME,STORE,ORIGINAL PRICE,SALE PRICE
0,"Funko Pop! Stacks Plastic Protector, ",Hot Topic,10.50,
1,"Funko Fantastic Beasts: The Crimes Of Grindlewald Pocket Pop! Baby Niffler (Multi) Key Chain, ",Hot Topic,7.90,6.32
2,"Funko Fantastic Beasts: The Crimes Of Grindlewald Pop! Baby Nifflers Vinyl Figure Set, ",Hot Topic,24.50,19.60
3,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Chupacabra Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
4,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Grey Baby Niffler Collectible Plush, ",Hot Topic,12.90,10.32
5,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Matagot Glow-In-The-Dark Vinyl Figure, ",Hot Topic,12.50,9.00
6,"Funko Fantastic Beasts: The Crimes Of Grindlewald Pocket Pop! Baby Niffler (Tan) Key Chain, ",Hot Topic,7.90,6.32
7,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Black & White Baby Niffler Collectible Plush, ",Hot Topic,12.90,10.32
8,"Funko Fantastic Beasts: The Crimes Of Grindlewald Pocket Pop! Baby Niffler (Brown) Key Chain, ",Hot Topic,7.90,6.32
9,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Bowtruckle Collectible Plush, ",Hot Topic,12.90,10.32
10,"Funko Fantastic Beasts: The Crimes Of Grindlewald Pocket Pop! Baby Niffler (Grey) Key Chain, ",Hot Topic,7.90,6.32
11,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Chupacabra Vinyl Figure, ",Hot Topic,12.50,9.00
12,"Funko Rock Candy Beetlejuice Lydia Deetz Wedding Dress Vinyl Figure, ",Hot Topic,10.50,
13,"Funko Prince Pop! Rocks 3rd Eye Girl Vinyl Figure, ",Hot Topic,12.50,9.00
14,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Niffler Collectible Plush, ",Hot Topic,12.90,10.32
15,"Funko Prince Pop! Rocks Prince Around The World In A Day Vinyl Figure, ",Hot Topic,12.50,9.00
16,"Funko Marvel Studios 10th Anniversary Pint Size Heroes Blind Bag Vinyl Figure, ",Hot Topic,4.90,3.92
17,"Funko Fantastic Beasts: The Crimes Of Grindelwald Thestral Pop! Key Chain, ",Hot Topic,7.90,6.32
18,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pickett Pop! Key Chain, ",Hot Topic,7.90,6.32
19,"Funko Marvel Runaways Pop! Alex Wilder Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
20,"Funko Marvel Runaways Pop! Chase Stein Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
21,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Newt Scamander Vinyl Figure, ",Hot Topic,12.50,9.00
22,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Pickett Vinyl Figure, ",Hot Topic,12.50,9.00
23,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Albus Dumbledore Vinyl Figure, ",Hot Topic,12.50,9.00
24,"Funko Smallfoot Pop! Movies Stonekeeper Vinyl Figure, ",Hot Topic,12.50,9.00
25,"Funko The Nightmare Before Christmas Diamond Collection Pop! Jack Skellington Vinyl Figure Hot Topic Exclusive, ",Hot Topic,14.50,
26,"Funko Spider-Man Pop! Games Miles Morales Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
27,"Funko The Nightmare Before Christmas Pop! Clown Vinyl Figure, ",Hot Topic,12.50,9.00
28,"Rick And Morty Portal Gun Replica, ",Hot Topic,17.90,14.32
29,"Funko Rick And Morty Scary Terry Action Figure, ",Hot Topic,16.50,13.20
30,"Funko Rick And Morty Squanchy Action Figure, ",Hot Topic,16.50,13.20
31,"Funko Overwatch Pop! Games Torbjorn Vinyl Figure, ",Hot Topic,12.50,9.00
32,"Funko Rick And Morty Purge Suit Rick Action Figure, ",Hot Topic,16.50,13.20
33,"Funko The Nightmare Before Christmas Pop! Snowman Jack Vinyl Figure, ",Hot Topic,12.50,9.00
34,"Funko The Nightmare Before Christmas Pop! Sally Vinyl Figure, ",Hot Topic,12.50,9.00
35,"Funko Rick And Morty Summer Action Figure, ",Hot Topic,16.50,13.20
36,"Funko Rick And Morty Purge Suit Morty Action Figure, ",Hot Topic,16.50,13.20
37,"Funko Coraline Pop! Animation Coraline In Raincoat Vinyl Figure, ",Hot Topic,12.50,9.00
38,"Funko Friends Pop! Television Monica Geller Vinyl Figure, ",Hot Topic,12.50,9.00
39,"Funko Supernatural Pop! Television Castiel With Wings Vinyl Figure Hot Topic Exclusive, ",Hot Topic,14.50,
40,"Funko Marvel Studios The First 10 Years Pop! Thanos (With Throne) Vinyl Bobble-Head Hot Topic Exclusive, ",Hot Topic,32.50,
41,"Funko The Nightmare Before Christmas Pocket Pop! Dapper Jack Key Chain Hot Topic Exclusive, ",Hot Topic,7.90,6.32
