,NAME,STORE,ORIGINAL PRICE,SALE PRICE
0,"Funko Tokyo Ghoul Pop! Animation Eto Vinyl Figure 2018 Fall Convention Exclusive, ",Hot Topic,15.00,
1,"Funko One Piece Pop! Animation Brook Vinyl Figure 2018 Fall Convention Exclusive, ",Hot Topic,15.00,
2,"Funko DC Comics Pop! Heroes Wonder Woman Vinyl Figure 2018 Fall Convention Exclusive, ",Hot Topic,15.00,
3,"Funko DC Comics Aquaman Pop! Heroes Arthur Curry Vinyl Figure 2018 Fall Convention Exclusive, ",Hot Topic,15.00,
4,"Funko Blade Runner 2049 Dorbz Deckard Vinyl Figure, ",Hot Topic,9.50,6.00
5,"Funko Star Wars Pop! Darth Vader Holiday Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
6,"Funko Birdhouse Skateboards Pop! Sports Tony Hawk Vinyl Figure, ",Hot Topic,12.50,9.00
7,"Funko Blade Runner 2049 Dorbz Sapper Vinyl Figure, ",Hot Topic,9.50,6.00
8,"Funko Blade Runner 2049 Dorbz Officer K Vinyl Figure, ",Hot Topic,9.50,6.00
9,"Funko Blade Runner 2049 Dorbz Wallace Vinyl Figure, ",Hot Topic,9.50,6.00
10,"Funko Overwatch Pop! Games Roadhog (Junkenstein's Monster) 6 Inch Vinyl Figure Hot Topic Exclusive, ",Hot Topic,26.90,
11,"Funko Marvel Avengers: Infinity War Vynl. Thanos & Iron Spider Vinyl Figures, ",Hot Topic,18.90,15.12
12,"Funko DC Comics Aquaman Pop! Orm Vinyl Figure, ",Hot Topic,12.50,9.00
13,"Funko DC Comics Aquaman Pop! Mera Vinyl Figure, ",Hot Topic,12.50,9.00
14,"Funko Ralph Breaks The Internet Vanellope Pop! Key Chain, ",Hot Topic,7.90,6.32
15,"Funko Aquaman Pocket Pop! Aquaman Classic Suit Vinyl Key Chain, ",Hot Topic,7.90,6.32
16,"Funko DC Comics Aquaman Pop! Hero Suit Aquaman Vinyl Figure, ",Hot Topic,12.50,9.00
17,"Funko Ralph Breaks The Internet Pop! Knowsmore Vinyl Figure, ",Hot Topic,12.50,9.00
18,"Funko Aquaman Pocket Pop! Black Manta Key Chain, ",Hot Topic,7.90,6.32
19,"Funko Ralph Breaks The Internet Pop! Fix-It Felix Vinyl Figure, ",Hot Topic,12.50,9.00
20,"Funko Ralph Breaks The Internet Wreck-It Ralph Pop! Key Chain, ",Hot Topic,7.90,6.32
21,"Funko DC Comics Aquaman Mystery Minis Blind Box Vinyl Figure, ",Hot Topic,7.90,6.32
22,"Funko DC Comics Aquaman Pop! Black Manta Vinyl Figure, ",Hot Topic,12.50,9.00
