,NAME,STORE,ORIGINAL PRICE,SALE PRICE
0,"Funko Pop! Stacks Plastic Protector, ",Hot Topic,10.50,
1,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Bowtruckle Collectible Plush, ",Hot Topic,12.90,10.32
2,"Funko Marvel Runaways Pop! Alex Wilder Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
3,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Thestral Vinyl Figure, ",Hot Topic,12.50,9.00
4,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Albus Dumbledore Vinyl Figure, ",Hot Topic,12.50,9.00
5,"Funko Marvel Runaways Pop! Chase Stein Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
6,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Newt Scamander Vinyl Figure, ",Hot Topic,12.50,9.00
7,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Pickett Vinyl Figure, ",Hot Topic,12.50,9.00
8,"Funko Smallfoot Pop! Movies Stonekeeper Vinyl Figure, ",Hot Topic,12.50,9.00
9,"Funko The Nightmare Before Christmas Diamond Collection Pop! Jack Skellington Vinyl Figure Hot Topic Exclusive, ",Hot Topic,14.50,
10,"Funko Spider-Man Pop! Games Miles Morales Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
11,"Funko The Nightmare Before Christmas Pop! Clown Vinyl Figure, ",Hot Topic,12.50,9.00
12,"Rick And Morty Portal Gun Replica, ",Hot Topic,17.90,14.32
13,"Funko Overwatch Pop! Games Torbjorn Vinyl Figure, ",Hot Topic,12.50,9.00
14,"Funko Rick And Morty Scary Terry Action Figure, ",Hot Topic,16.50,13.20
15,"Funko Rick And Morty Purge Suit Rick Action Figure, ",Hot Topic,16.50,13.20
16,"Funko The Nightmare Before Christmas Pop! Snowman Jack Vinyl Figure, ",Hot Topic,12.50,9.00
17,"Funko Rick And Morty Summer Action Figure, ",Hot Topic,16.50,13.20
18,"Funko Rick And Morty Purge Suit Morty Action Figure, ",Hot Topic,16.50,13.20
19,"Funko Rick And Morty Squanchy Action Figure, ",Hot Topic,16.50,13.20
20,"Funko The Nightmare Before Christmas Pop! Sally Vinyl Figure, ",Hot Topic,12.50,9.00
21,"Funko Friends Pop! Television Monica Geller Vinyl Figure, ",Hot Topic,12.50,9.00
22,"Funko Marvel Studios The First 10 Years Pop! Thanos (With Throne) Vinyl Bobble-Head Hot Topic Exclusive, ",Hot Topic,32.50,
23,"Funko Supernatural Pop! Television Castiel With Wings Vinyl Figure Hot Topic Exclusive, ",Hot Topic,14.50,
24,"Funko Five Nights At Freddy's Pocket Pop! Helpy Key Chain, ",Hot Topic,7.90,6.32
25,"Funko The Nightmare Before Christmas Pocket Pop! Dapper Jack Key Chain Hot Topic Exclusive, ",Hot Topic,7.90,6.32
26,"Funko Disney Hercules Pop! Rides Hercules & Pegasus Vinyl Figure , ",Hot Topic,32.50,25.00
27,"FUNKO DISNEY TREASURES VILLAINS BOX HOT TOPIC EXCLUSIVE, ",Hot Topic,32.90,
28,"Funko Cuphead Mugman Vinyl Figure , ",Hot Topic,12.50,10.00
29,"Funko Small Foot Pop! Movies Percy Vinyl Figure, ",Hot Topic,12.50,9.00
30,"Funko Small Foot Pop! Movies Fleem Vinyl Figure, ",Hot Topic,12.50,9.00
31,"Funko Smallfoot Pop! Movies Migo Vinyl Figure, ",Hot Topic,12.50,9.00
32,"Funko Marvel Venom Pop! Venomized Iron Man Bobble-Head, ",Hot Topic,12.50,9.00
33,"Funko Coraline Pop! Mr. Bobinsky With Mouse Vinyl Figure, ",Hot Topic,12.50,9.00
34,"Funko Mickey's 90th Pocket Pop! Brave Little Tailor Key Chain, ",Hot Topic,6.90,5.52
35,"Funko Mickey's 90th Pocket Pop! Band Concert Mickey Key Chain, ",Hot Topic,6.90,5.52
36,"Funko Disney Pop! Apprentice Mickey Mouse Vinyl Figure, ",Hot Topic,12.50,10.00
