,NAME,STORE,ORIGINAL PRICE,SALE PRICE
0,"Funko Pop! Stacks Plastic Protector, ",Hot Topic,10.50,
1,"Funko Rock Candy Beetlejuice Lydia Deetz Wedding Dress Vinyl Figure, ",Hot Topic,10.50,
2,"Funko Prince Pop! Rocks 3rd Eye Girl Vinyl Figure, ",Hot Topic,12.50,9.00
3,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Niffler Collectible Plush, ",Hot Topic,12.90,
4,"Funko The Nightmare Before Christmas Pop! Jack Skellington Sugar Skull Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
5,"Funko Prince Pop! Rocks Prince Around The World In A Day Vinyl Figure, ",Hot Topic,12.50,9.00
6,"Funko Marvel Studios 10th Anniversary Pint Size Heroes Blind Bag Vinyl Figure, ",Hot Topic,4.90,
7,"Funko Fantastic Beasts: The Crimes Of Grindelwald SuperCute Plushies Bowtruckle Collectible Plush, ",Hot Topic,12.90,
8,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pickett Pop! Key Chain, ",Hot Topic,7.90,
9,"Funko Fantastic Beasts: The Crimes Of Grindelwald Thestral Pop! Key Chain, ",Hot Topic,7.90,
10,"Funko Marvel Runaways Pop! Alex Wilder Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
11,"Funko Marvel Runaways Pop! Chase Stein Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
12,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Newt Scamander Vinyl Figure, ",Hot Topic,12.50,9.00
13,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Albus Dumbledore Vinyl Figure, ",Hot Topic,12.50,9.00
14,"Funko Fantastic Beasts: The Crimes Of Grindelwald Pop! Pickett Vinyl Figure, ",Hot Topic,12.50,9.00
15,"Funko Smallfoot Pop! Movies Stonekeeper Vinyl Figure, ",Hot Topic,12.50,9.00
16,"Rick And Morty Portal Gun Replica, ",Hot Topic,17.90,
17,"Funko Spider-Man Pop! Games Miles Morales Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
18,"Funko The Nightmare Before Christmas Pop! Clown Vinyl Figure, ",Hot Topic,12.50,9.00
19,"Funko The Nightmare Before Christmas Diamond Collection Pop! Jack Skellington Vinyl Figure Hot Topic Exclusive, ",Hot Topic,14.50,
20,"Funko Rick And Morty Scary Terry Action Figure, ",Hot Topic,16.50,
21,"Funko Rick And Morty Squanchy Action Figure, ",Hot Topic,16.50,
22,"Funko Overwatch Pop! Games Torbjorn Vinyl Figure, ",Hot Topic,12.50,9.00
23,"Funko Rick And Morty Purge Suit Rick Action Figure, ",Hot Topic,16.50,
